"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"70";"Paraná";"Pré-escola";"Branca";0,637900744501273;0,036825502922905
"71";"Paraná";"Pré-escola";"Negra";0,356253071311718;0,0362945755398395
"72";"Paraná";"Pré-escola";"Outros";0,00584618418700907;0,0059430360099526
"73";"Santa Catarina";"Pré-escola";"Branca";0,796552176471394;0,0215886673332429
"74";"Santa Catarina";"Pré-escola";"Negra";0,193163989292084;0,0209881712967671
"75";"Santa Catarina";"Pré-escola";"Outros";0,010283834236522;0,00578676707072895
"76";"Rio Grande do Sul";"Pré-escola";"Branca";0,714260637850202;0,0382491621403493
"77";"Rio Grande do Sul";"Pré-escola";"Negra";0,285739362149798;0,0382491621403493
"78";"Rio Grande do Sul";"Pré-escola";"Outros";0;0
"79";"Mato Grosso do Sul";"Pré-escola";"Branca";0,471175156579527;0,0526704841767139
"80";"Mato Grosso do Sul";"Pré-escola";"Negra";0,52353275753116;0,0521072334212918
"81";"Mato Grosso do Sul";"Pré-escola";"Outros";0,00529208588931293;0,00513302265276953
"82";"Mato Grosso";"Pré-escola";"Branca";0,305534969594012;0,0408413578463502
"83";"Mato Grosso";"Pré-escola";"Negra";0,694465030405988;0,0408413578463502
"84";"Mato Grosso";"Pré-escola";"Outros";0;0
"85";"Goiás";"Pré-escola";"Branca";0,410531692566041;0,0415372922752919
"86";"Goiás";"Pré-escola";"Negra";0,589468307433959;0,0415372922752919
"87";"Goiás";"Pré-escola";"Outros";0;0
"88";"Distrito Federal";"Pré-escola";"Branca";0,450961243749071;0,0528681133897443
"89";"Distrito Federal";"Pré-escola";"Negra";0,53920434029916;0,054307298719804
"90";"Distrito Federal";"Pré-escola";"Outros";0,00983441595176847;0,00898515063962527
"91";"Rondônia";"Regular do ensino fundamental";"Branca";0,256985280747965;0,015267005772665
"92";"Rondônia";"Regular do ensino fundamental";"Negra";0,737044208427542;0,0151274490881535
"93";"Rondônia";"Regular do ensino fundamental";"Outros";0,00597051082449318;0,00289252382734842
"94";"Acre";"Regular do ensino fundamental";"Branca";0,169278508255362;0,0115223556587457
"95";"Acre";"Regular do ensino fundamental";"Negra";0,819962023352788;0,0116052686805633
"96";"Acre";"Regular do ensino fundamental";"Outros";0,0107594683918497;0,00316945544396139
"97";"Amazonas";"Regular do ensino fundamental";"Branca";0,128962267884422;0,0113024905327342
"98";"Amazonas";"Regular do ensino fundamental";"Negra";0,845387779495009;0,0136578741863841
"99";"Amazonas";"Regular do ensino fundamental";"Outros";0,0256499526205692;0,00699564679981686
"100";"Roraima";"Regular do ensino fundamental";"Branca";0,162602080851386;0,0161829111490707
"101";"Roraima";"Regular do ensino fundamental";"Negra";0,733526688967677;0,0262751327850285
"102";"Roraima";"Regular do ensino fundamental";"Outros";0,103871230180937;0,0240813919638184
"103";"Pará";"Regular do ensino fundamental";"Branca";0,181338350463398;0,0100100636176464
"104";"Pará";"Regular do ensino fundamental";"Negra";0,808098845118165;0,0101157548753775
"105";"Pará";"Regular do ensino fundamental";"Outros";0,0105628044184369;0,00261668651843994
"106";"Amapá";"Regular do ensino fundamental";"Branca";0,171089506959541;0,0161165749844103
"107";"Amapá";"Regular do ensino fundamental";"Negra";0,826158978037536;0,0161528738474875
"108";"Amapá";"Regular do ensino fundamental";"Outros";0,0027515150029227;0,00183894489961753
"109";"Tocantins";"Regular do ensino fundamental";"Branca";0,173967218190756;0,0168931612707422
"110";"Tocantins";"Regular do ensino fundamental";"Negra";0,811860131462807;0,0179613275661687
