"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"62";"Espírito Santo";"Pré-escola";"Negra";9250,10745288;1526,68980423333
"63";"Espírito Santo";"Pré-escola";"Outros";0;0
"64";"Rio de Janeiro";"Pré-escola";"Branca";29082,26457131;5506,15735569579
"65";"Rio de Janeiro";"Pré-escola";"Negra";40399,00933759;5631,34595314733
"66";"Rio de Janeiro";"Pré-escola";"Outros";0;0
"67";"São Paulo";"Pré-escola";"Branca";102617,46545358;15294,7889887177
"68";"São Paulo";"Pré-escola";"Negra";78465,73387232;15803,4126331539
"69";"São Paulo";"Pré-escola";"Outros";1985,21791221;2014,89348845626
"70";"Paraná";"Pré-escola";"Branca";28634,24389533;4672,3347238304
"71";"Paraná";"Pré-escola";"Negra";13420,91078245;2966,60095674514
"72";"Paraná";"Pré-escola";"Outros";0;0
"73";"Santa Catarina";"Pré-escola";"Branca";22601,98608082;3317,38715555288
"74";"Santa Catarina";"Pré-escola";"Negra";5490,41210184;1273,91969468226
"75";"Santa Catarina";"Pré-escola";"Outros";0;0
"76";"Rio Grande do Sul";"Pré-escola";"Branca";34202,73258714;5753,0209389578
"77";"Rio Grande do Sul";"Pré-escola";"Negra";10083,34864129;2987,72306573079
"78";"Rio Grande do Sul";"Pré-escola";"Outros";0;0
"79";"Mato Grosso do Sul";"Pré-escola";"Branca";4158,40034877;1449,70530246545
"80";"Mato Grosso do Sul";"Pré-escola";"Negra";4287,01394224;1244,18844047764
"81";"Mato Grosso do Sul";"Pré-escola";"Outros";0;0
"82";"Mato Grosso";"Pré-escola";"Branca";5631,3238977;1904,92940224527
"83";"Mato Grosso";"Pré-escola";"Negra";7603,71649752;1965,33870514992
"84";"Mato Grosso";"Pré-escola";"Outros";0;0
"85";"Goiás";"Pré-escola";"Branca";20148,72238232;5903,48092892267
"86";"Goiás";"Pré-escola";"Negra";25027,33914682;4648,31141832608
"87";"Goiás";"Pré-escola";"Outros";367,22221402;397,084385455154
"88";"Distrito Federal";"Pré-escola";"Branca";4185,63815856;1349,6256772695
"89";"Distrito Federal";"Pré-escola";"Negra";10088,49120759;2738,86276724035
"90";"Distrito Federal";"Pré-escola";"Outros";0;0
"91";"Rondônia";"Regular do ensino fundamental";"Branca";12392,78506994;2711,30497916798
"92";"Rondônia";"Regular do ensino fundamental";"Negra";56952,24802187;9518,92304518342
"93";"Rondônia";"Regular do ensino fundamental";"Outros";265,85844272;272,859905876979
"94";"Acre";"Regular do ensino fundamental";"Branca";5648,79885863;1446,18150452247
"95";"Acre";"Regular do ensino fundamental";"Negra";27571,47286318;4725,58342456309
"96";"Acre";"Regular do ensino fundamental";"Outros";221,11294025;179,579638994684
"97";"Amazonas";"Regular do ensino fundamental";"Branca";23028,76550677;5055,3471993848
"98";"Amazonas";"Regular do ensino fundamental";"Negra";150124,34579848;20464,5906945074
"99";"Amazonas";"Regular do ensino fundamental";"Outros";1124,13011813;605,124449541211
"100";"Roraima";"Regular do ensino fundamental";"Branca";4137,60283561;1087,38956316435
"101";"Roraima";"Regular do ensino fundamental";"Negra";20042,56000323;3733,01922075212
"102";"Roraima";"Regular do ensino fundamental";"Outros";487,78828831;323,070917448355
"103";"Pará";"Regular do ensino fundamental";"Branca";64902,01734843;8734,44193682095
"104";"Pará";"Regular do ensino fundamental";"Negra";286579,782198;33362,7836816878
"105";"Pará";"Regular do ensino fundamental";"Outros";3050,59541886;2614,11182210903
"106";"Amapá";"Regular do ensino fundamental";"Branca";6709,22273062;2241,25633916991
"107";"Amapá";"Regular do ensino fundamental";"Negra";21145,14792295;5302,92324113882
"108";"Amapá";"Regular do ensino fundamental";"Outros";189,00885893;201,769662603665
"109";"Tocantins";"Regular do ensino fundamental";"Branca";14858,47075258;2981,22593860689
"110";"Tocantins";"Regular do ensino fundamental";"Negra";54076,54238934;10929,7219039423
"111";"Tocantins";"Regular do ensino fundamental";"Outros";0;0
"112";"Maranhão";"Regular do ensino fundamental";"Branca";54810,80434805;5701,00737761759
"113";"Maranhão";"Regular do ensino fundamental";"Negra";297755,79515715;25997,7913727741
"114";"Maranhão";"Regular do ensino fundamental";"Outros";660,09886493;445,112155720683
"115";"Piauí";"Regular do ensino fundamental";"Branca";22225,43665044;4259,60749867013
"116";"Piauí";"Regular do ensino fundamental";"Negra";98856,20764608;14808,3072145423
"117";"Piauí";"Regular do ensino fundamental";"Outros";0;0
"118";"Ceará";"Regular do ensino fundamental";"Branca";82681,76732905;9648,07187235745
"119";"Ceará";"Regular do ensino fundamental";"Negra";285041,01011216;32679,0238381126
"120";"Ceará";"Regular do ensino fundamental";"Outros";1990,52056892;857,056854164797
"121";"Rio Grande do Norte";"Regular do ensino fundamental";"Branca";41724,79184548;6054,46442020638
"122";"Rio Grande do Norte";"Regular do ensino fundamental";"Negra";66490,13174546;10221,2230266144
"123";"Rio Grande do Norte";"Regular do ensino fundamental";"Outros";0;0
"124";"Paraíba";"Regular do ensino fundamental";"Branca";53124,08897245;6833,1237902589
"125";"Paraíba";"Regular do ensino fundamental";"Negra";105962,27388729;13977,9245785331
"126";"Paraíba";"Regular do ensino fundamental";"Outros";0;0
"127";"Pernambuco";"Regular do ensino fundamental";"Branca";100380,89627423;11817,5360549236
"128";"Pernambuco";"Regular do ensino fundamental";"Negra";253608,54100639;29675,8024090206
"129";"Pernambuco";"Regular do ensino fundamental";"Outros";434,12668531;425,75939249431
"130";"Alagoas";"Regular do ensino fundamental";"Branca";28025,59179107;3741,84207022498
"131";"Alagoas";"Regular do ensino fundamental";"Negra";100751,51634685;10548,1241630901
"132";"Alagoas";"Regular do ensino fundamental";"Outros";1005,73643728;410,611125793234
"133";"Sergipe";"Regular do ensino fundamental";"Branca";14679,6386101;2751,58987010501
"134";"Sergipe";"Regular do ensino fundamental";"Negra";68930,74531976;9918,13076793853
"135";"Sergipe";"Regular do ensino fundamental";"Outros";603,19997558;358,451329169353
"136";"Bahia";"Regular do ensino fundamental";"Branca";123458,39772203;18916,3328377842
"137";"Bahia";"Regular do ensino fundamental";"Negra";508654,94110602;53595,6569605987
"138";"Bahia";"Regular do ensino fundamental";"Outros";4463,30459835;2006,76239797175
"139";"Minas Gerais";"Regular do ensino fundamental";"Branca";243701,75888425;25597,8315009376
"140";"Minas Gerais";"Regular do ensino fundamental";"Negra";408357,37809762;39833,0917613672
"141";"Minas Gerais";"Regular do ensino fundamental";"Outros";1642,25390471;1224,44938875917
"142";"Espírito Santo";"Regular do ensino fundamental";"Branca";45289,72330286;6563,95075480481
"143";"Espírito Santo";"Regular do ensino fundamental";"Negra";89810,53931708;9825,72966512671
"144";"Espírito Santo";"Regular do ensino fundamental";"Outros";676,21244289;466,670523336768
"145";"Rio de Janeiro";"Regular do ensino fundamental";"Branca";204949,77725245;20584,3566762795
"146";"Rio de Janeiro";"Regular do ensino fundamental";"Negra";391757,12010849;38421,6230665318
"147";"Rio de Janeiro";"Regular do ensino fundamental";"Outros";0;0
"148";"São Paulo";"Regular do ensino fundamental";"Branca";728192,4483181;68573,6689832097
"149";"São Paulo";"Regular do ensino fundamental";"Negra";541984,92620005;63450,300671784
"150";"São Paulo";"Regular do ensino fundamental";"Outros";18519,50208135;9483,45040772377
"151";"Paraná";"Regular do ensino fundamental";"Branca";261918,81528014;27648,5185043008
"152";"Paraná";"Regular do ensino fundamental";"Negra";138606,63507243;14253,9254092392
"153";"Paraná";"Regular do ensino fundamental";"Outros";4376,36489028;1879,75158104771
"154";"Santa Catarina";"Regular do ensino fundamental";"Branca";160431,55237626;14348,1402442643
"155";"Santa Catarina";"Regular do ensino fundamental";"Negra";41513,610917;5929,27812948022
"156";"Santa Catarina";"Regular do ensino fundamental";"Outros";377,18512937;370,848799918411
"157";"Rio Grande do Sul";"Regular do ensino fundamental";"Branca";237040,5736007;23553,6543919357
"158";"Rio Grande do Sul";"Regular do ensino fundamental";"Negra";76980,10665883;10234,2090999604
"159";"Rio Grande do Sul";"Regular do ensino fundamental";"Outros";587,63354022;594,09187831026
"160";"Mato Grosso do Sul";"Regular do ensino fundamental";"Branca";30451,64678815;5399,9563741535
"161";"Mato Grosso do Sul";"Regular do ensino fundamental";"Negra";50393,01328581;7240,04663651561
"162";"Mato Grosso do Sul";"Regular do ensino fundamental";"Outros";596,57133988;509,765451160508
"163";"Mato Grosso";"Regular do ensino fundamental";"Branca";32513,49111694;8732,23507829057
"164";"Mato Grosso";"Regular do ensino fundamental";"Negra";73016,5732364;12208,4399997875
"165";"Mato Grosso";"Regular do ensino fundamental";"Outros";272,91917523;263,080247290523
"166";"Goiás";"Regular do ensino fundamental";"Branca";79484,62248841;11145,081373433
"167";"Goiás";"Regular do ensino fundamental";"Negra";148752,82171356;17700,5043485679
"168";"Goiás";"Regular do ensino fundamental";"Outros";97,7376601;101,240326066483
"169";"Distrito Federal";"Regular do ensino fundamental";"Branca";40050,72406187;7868,86531935621
"170";"Distrito Federal";"Regular do ensino fundamental";"Negra";56487,85066098;9909,91376853945
"171";"Distrito Federal";"Regular do ensino fundamental";"Outros";1010,44078234;580,716783287606
"172";"Rondônia";"Regular do ensino médio";"Branca";1557,32047944;624,295532774181
"173";"Rondônia";"Regular do ensino médio";"Negra";14073,52817372;3161,61927079123
"174";"Rondônia";"Regular do ensino médio";"Outros";163,7190593;172,17297465716
"175";"Acre";"Regular do ensino médio";"Branca";1158,58188913;402,437261287179
"176";"Acre";"Regular do ensino médio";"Negra";6219,43050607;1390,72348997928
"177";"Acre";"Regular do ensino médio";"Outros";0;0
"178";"Amazonas";"Regular do ensino médio";"Branca";10574,41695369;2440,04745222611
"179";"Amazonas";"Regular do ensino médio";"Negra";51013,19607805;8342,72128574697
"180";"Amazonas";"Regular do ensino médio";"Outros";0;0
"181";"Roraima";"Regular do ensino médio";"Branca";1079,81296694;341,849644145867
"182";"Roraima";"Regular do ensino médio";"Negra";4929,9172228;1288,17065169988
"183";"Roraima";"Regular do ensino médio";"Outros";368,41320047;235,98380414112
"184";"Pará";"Regular do ensino médio";"Branca";18618,18844357;3834,1918867381
"185";"Pará";"Regular do ensino médio";"Negra";73254,89593586;10403,2804814007
"186";"Pará";"Regular do ensino médio";"Outros";2595,20576286;1582,99790902207
"187";"Amapá";"Regular do ensino médio";"Branca";1817,44909768;576,983957555786
"188";"Amapá";"Regular do ensino médio";"Negra";6541,79455316;1747,34415905013
"189";"Amapá";"Regular do ensino médio";"Outros";0;0
"190";"Tocantins";"Regular do ensino médio";"Branca";2676,87754327;837,054813663568
"191";"Tocantins";"Regular do ensino médio";"Negra";12467,38070686;2656,34121337609
"192";"Tocantins";"Regular do ensino médio";"Outros";0;0
"193";"Maranhão";"Regular do ensino médio";"Branca";19768,467512;2628,58330468948
"194";"Maranhão";"Regular do ensino médio";"Negra";75329,47119193;7634,87780588821
"195";"Maranhão";"Regular do ensino médio";"Outros";78,68274565;83,3256794311994
"196";"Piauí";"Regular do ensino médio";"Branca";4993,46027095;1437,92746495411
"197";"Piauí";"Regular do ensino médio";"Negra";28807,19517779;5477,58872078975
"198";"Piauí";"Regular do ensino médio";"Outros";0;0
"199";"Ceará";"Regular do ensino médio";"Branca";29914,49214249;5678,25373724041
"200";"Ceará";"Regular do ensino médio";"Negra";68492,26835382;8404,50023766989
"201";"Ceará";"Regular do ensino médio";"Outros";987,60573262;582,533701276448
"202";"Rio Grande do Norte";"Regular do ensino médio";"Branca";12870,67511844;2483,25179707089
"203";"Rio Grande do Norte";"Regular do ensino médio";"Negra";21350,84237182;3524,3042979857
"204";"Rio Grande do Norte";"Regular do ensino médio";"Outros";0;0
"205";"Paraíba";"Regular do ensino médio";"Branca";8341,49198595;2007,99120741301
"206";"Paraíba";"Regular do ensino médio";"Negra";22128,33243479;4101,50046874499
"207";"Paraíba";"Regular do ensino médio";"Outros";0;0
"208";"Pernambuco";"Regular do ensino médio";"Branca";28459,89165912;4692,14314311856
"209";"Pernambuco";"Regular do ensino médio";"Negra";65203,28936261;8370,07769565874
"210";"Pernambuco";"Regular do ensino médio";"Outros";457,23420499;422,951015761978
"211";"Alagoas";"Regular do ensino médio";"Branca";6920,54098705;1197,73795675231
"212";"Alagoas";"Regular do ensino médio";"Negra";24941,88576124;3289,31864776176
"213";"Alagoas";"Regular do ensino médio";"Outros";0;0
"214";"Sergipe";"Regular do ensino médio";"Branca";5509,56709007;1173,25222817865
"215";"Sergipe";"Regular do ensino médio";"Negra";16212,38660642;2911,93047363356
"216";"Sergipe";"Regular do ensino médio";"Outros";123,55021802;117,699213069894
"217";"Bahia";"Regular do ensino médio";"Branca";31138,85691283;5806,09776252698
"218";"Bahia";"Regular do ensino médio";"Negra";134267,90574593;16468,0121637457
"219";"Bahia";"Regular do ensino médio";"Outros";0;0
"220";"Minas Gerais";"Regular do ensino médio";"Branca";81880,66087813;12333,0015686311
"221";"Minas Gerais";"Regular do ensino médio";"Negra";133947,94026288;13824,6759333975
"222";"Minas Gerais";"Regular do ensino médio";"Outros";1039,82901437;858,380955164303
"223";"Espírito Santo";"Regular do ensino médio";"Branca";13551,30757941;2669,38161634657
"224";"Espírito Santo";"Regular do ensino médio";"Negra";21911,34874134;3440,90589535641
"225";"Espírito Santo";"Regular do ensino médio";"Outros";0;0
"226";"Rio de Janeiro";"Regular do ensino médio";"Branca";76010,29376027;8667,33155934114
"227";"Rio de Janeiro";"Regular do ensino médio";"Negra";96689,46352766;11189,7678550719
"228";"Rio de Janeiro";"Regular do ensino médio";"Outros";0;0
"229";"São Paulo";"Regular do ensino médio";"Branca";308315,39758429;36197,5723125674
"230";"São Paulo";"Regular do ensino médio";"Negra";180727,37356306;22132,3471160957
"231";"São Paulo";"Regular do ensino médio";"Outros";2581,97624116;1918,87231745906
"232";"Paraná";"Regular do ensino médio";"Branca";85543,66830264;10720,6846448602
"233";"Paraná";"Regular do ensino médio";"Negra";32708,49659274;5968,66472232396
"234";"Paraná";"Regular do ensino médio";"Outros";1227,89452778;961,188622801353
"235";"Santa Catarina";"Regular do ensino médio";"Branca";57520,00381286;5426,15417212622
"236";"Santa Catarina";"Regular do ensino médio";"Negra";9648,80966529;1853,05217069091
"237";"Santa Catarina";"Regular do ensino médio";"Outros";0;0
"238";"Rio Grande do Sul";"Regular do ensino médio";"Branca";74908,78644768;10277,5413328601
"239";"Rio Grande do Sul";"Regular do ensino médio";"Negra";24202,80765953;4652,29551089541
"240";"Rio Grande do Sul";"Regular do ensino médio";"Outros";0;0
"241";"Mato Grosso do Sul";"Regular do ensino médio";"Branca";6934,88775286;1899,97802469567
"242";"Mato Grosso do Sul";"Regular do ensino médio";"Negra";15363,9617275;3278,99107496043
"243";"Mato Grosso do Sul";"Regular do ensino médio";"Outros";0;0
"244";"Mato Grosso";"Regular do ensino médio";"Branca";9879,21826021;1977,02427826461
"245";"Mato Grosso";"Regular do ensino médio";"Negra";24872,47915036;4188,00331327853
"246";"Mato Grosso";"Regular do ensino médio";"Outros";545,50555832;394,895322301173
"247";"Goiás";"Regular do ensino médio";"Branca";24762,27159571;5727,93863974842
"248";"Goiás";"Regular do ensino médio";"Negra";45481,80064429;6886,47550049615
"249";"Goiás";"Regular do ensino médio";"Outros";0;0
"250";"Distrito Federal";"Regular do ensino médio";"Branca";11038,89348444;2876,98239956685
"251";"Distrito Federal";"Regular do ensino médio";"Negra";20657,69181829;3673,82105337305
"252";"Distrito Federal";"Regular do ensino médio";"Outros";0;0
