"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Branca";385425,44854709;21130,4776078372
"2";"Brasil";"Pré-escola";"Negra";544853,72120297;27858,5935786072
"3";"Brasil";"Pré-escola";"Outros";3455,47670442;2136,81661892781
"4";"Brasil";"Regular do ensino fundamental";"Branca";2716814,21011561;89137,4737333974
"5";"Brasil";"Regular do ensino fundamental";"Negra";4420203,83679246;123839,466303954
"6";"Brasil";"Regular do ensino fundamental";"Outros";42652,30214394;10610,8826434493
"7";"Brasil";"Regular do ensino médio";"Branca";935745,48051112;42557,6163154666
"8";"Brasil";"Regular do ensino médio";"Negra";1231445,89353581;40264,4085540951
"9";"Brasil";"Regular do ensino médio";"Outros";10169,61626554;2961,07196111193
"10";"Rondônia";"Pré-escola";"Branca";1871,37137447;707,662423857754
"11";"Rondônia";"Pré-escola";"Negra";6164,12465317;1914,87432719319
"12";"Rondônia";"Pré-escola";"Outros";0;0
"13";"Acre";"Pré-escola";"Branca";627,66063311;211,706352875491
"14";"Acre";"Pré-escola";"Negra";2361,51587871;548,213568270009
"15";"Acre";"Pré-escola";"Outros";91,26672761;87,8290621992816
"16";"Amazonas";"Pré-escola";"Branca";5494,73474865;1670,85850865186
"17";"Amazonas";"Pré-escola";"Negra";13931,30330503;3118,45424653219
"18";"Amazonas";"Pré-escola";"Outros";0;0
"19";"Roraima";"Pré-escola";"Branca";748,36436444;271,029579422891
"20";"Roraima";"Pré-escola";"Negra";3260,59135507;993,900137766856
"21";"Roraima";"Pré-escola";"Outros";84,38006343;78,7716705092064
"22";"Pará";"Pré-escola";"Branca";7607,7968509;2142,28539632146
"23";"Pará";"Pré-escola";"Negra";35775,17868835;5075,70621638041
"24";"Pará";"Pré-escola";"Outros";302,18426968;306,948152635393
"25";"Amapá";"Pré-escola";"Branca";884,28263638;430,763920035469
"26";"Amapá";"Pré-escola";"Negra";3398,51270354;1364,77073517269
"27";"Amapá";"Pré-escola";"Outros";0;0
"28";"Tocantins";"Pré-escola";"Branca";896,92382238;487,177575629092
"29";"Tocantins";"Pré-escola";"Negra";3381,72319588;953,21280400801
"30";"Tocantins";"Pré-escola";"Outros";0;0
"31";"Maranhão";"Pré-escola";"Branca";8191,37827209;1658,58127461881
"32";"Maranhão";"Pré-escola";"Negra";36934,72783272;3714,96565668988
"33";"Maranhão";"Pré-escola";"Outros";0;0
"34";"Piauí";"Pré-escola";"Branca";2553,05769549;973,938335345686
"35";"Piauí";"Pré-escola";"Negra";13072,46861967;3136,51979953984
"36";"Piauí";"Pré-escola";"Outros";0;0
"37";"Ceará";"Pré-escola";"Branca";10659,05796136;2588,23312475045
"38";"Ceará";"Pré-escola";"Negra";29751,232423;4841,84448685962
"39";"Ceará";"Pré-escola";"Outros";450,07985966;434,339167427572
"40";"Rio Grande do Norte";"Pré-escola";"Branca";5774,93428448;1653,2473629008
"41";"Rio Grande do Norte";"Pré-escola";"Negra";8438,28613731;2115,98576457641
"42";"Rio Grande do Norte";"Pré-escola";"Outros";0;0
"43";"Paraíba";"Pré-escola";"Branca";9808,88392169;2542,63835838557
"44";"Paraíba";"Pré-escola";"Negra";11882,03494618;3125,96756419465
"45";"Paraíba";"Pré-escola";"Outros";0;0
"46";"Pernambuco";"Pré-escola";"Branca";13928,13228234;3083,77499643551
"47";"Pernambuco";"Pré-escola";"Negra";36102,93965205;6621,88168691872
"48";"Pernambuco";"Pré-escola";"Outros";0;0
"49";"Alagoas";"Pré-escola";"Branca";5854,29632398;1290,01098210637
"50";"Alagoas";"Pré-escola";"Negra";13888,66958009;1857,28738920651
"51";"Alagoas";"Pré-escola";"Outros";0;0
"52";"Sergipe";"Pré-escola";"Branca";638,71527506;478,674469325399
"53";"Sergipe";"Pré-escola";"Negra";7311,09325945;1769,16277151141
"54";"Sergipe";"Pré-escola";"Outros";0;0
"55";"Bahia";"Pré-escola";"Branca";16422,08892668;3966,85136484669
"56";"Bahia";"Pré-escola";"Negra";63626,56337646;12740,8354592603
"57";"Bahia";"Pré-escola";"Outros";0;0
"58";"Minas Gerais";"Pré-escola";"Branca";35670,25054685;6632,47987475042
"59";"Minas Gerais";"Pré-escola";"Negra";51456,67261375;8189,95181585966
"60";"Minas Gerais";"Pré-escola";"Outros";175,12565781;173,859069680792
"61";"Espírito Santo";"Pré-escola";"Branca";6530,74125121;1368,40307563114
