"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"74";"Santa Catarina";"Pré-escola";"Negra";22910,06495617;2786,01607221427
"75";"Santa Catarina";"Pré-escola";"Outros";1219,70617412;689,640879163243
"76";"Rio Grande do Sul";"Pré-escola";"Branca";115248,62984959;8961,3484575229
"77";"Rio Grande do Sul";"Pré-escola";"Negra";46105,11658738;7642,54289111228
"78";"Rio Grande do Sul";"Pré-escola";"Outros";0;0
"79";"Mato Grosso do Sul";"Pré-escola";"Branca";18181,49763164;2763,00425665033
"80";"Mato Grosso do Sul";"Pré-escola";"Negra";20201,84947831;2686,43606247329
"81";"Mato Grosso do Sul";"Pré-escola";"Outros";204,20865939;197,139884285532
"82";"Mato Grosso";"Pré-escola";"Branca";23095,67574422;3463,31371429755
"83";"Mato Grosso";"Pré-escola";"Negra";52495,26487678;5906,59592920283
"84";"Mato Grosso";"Pré-escola";"Outros";0;0
"85";"Goiás";"Pré-escola";"Branca";39707,82238956;4792,03746111776
"86";"Goiás";"Pré-escola";"Negra";57015,09354749;6464,65210615842
"87";"Goiás";"Pré-escola";"Outros";0;0
"88";"Distrito Federal";"Pré-escola";"Branca";18009,43085458;2862,95543576033
"89";"Distrito Federal";"Pré-escola";"Negra";21533,47636346;3236,99642537808
"90";"Distrito Federal";"Pré-escola";"Outros";392,74380345;377,845226465269
"91";"Rondônia";"Regular do ensino fundamental";"Branca";69002,60130307;5136,07243527418
"92";"Rondônia";"Regular do ensino fundamental";"Negra";197902,25926107;8400,55397147559
"93";"Rondônia";"Regular do ensino fundamental";"Outros";1603,12986331;766,252479295461
"94";"Acre";"Regular do ensino fundamental";"Branca";25228,59022163;1795,16711675098
"95";"Acre";"Regular do ensino fundamental";"Negra";122203,85267845;4564,82513245034
"96";"Acre";"Regular do ensino fundamental";"Outros";1603,5480337;472,098717789309
"97";"Amazonas";"Regular do ensino fundamental";"Branca";93196,21518043;8452,67518209162
"98";"Amazonas";"Regular do ensino fundamental";"Negra";610930,17904534;20410,1318534089
"99";"Amazonas";"Regular do ensino fundamental";"Outros";18536,26291635;5031,4905451593
"100";"Roraima";"Regular do ensino fundamental";"Branca";15091,96259593;1459,03886123621
"101";"Roraima";"Regular do ensino fundamental";"Negra";68082,50727821;3389,50157876419
"102";"Roraima";"Regular do ensino fundamental";"Outros";9640,8404645;2331,12375753118
"103";"Pará";"Regular do ensino fundamental";"Branca";257198,23972321;15144,3927933527
"104";"Pará";"Regular do ensino fundamental";"Negra";1146153,58502835;31535,398408946
"105";"Pará";"Regular do ensino fundamental";"Outros";14981,57833696;3698,52577810466
